Area Type,Availability,Location,Size,Society,Total Sqft,Bathrooms,Balcony,Price,flag_status
Built-Up Area,Ready To Move,Begur,2 Bhk,Arntyi,1306,2.0,3.0,65.0,4
Super Built-Up Area,22-May,Jakkur,4 Bhk,Soinec,2249.81,4.0,2.0,245.0,4
Built-Up Area,Ready To Move,Tata Nagar,3 Bhk,Karchru,1504,3.0,2.0,67.0,4
Super Built-Up Area,18-May,Balagere,1 Bhk,Soresea,645,1.0,1.0,39.0,0
Plot Area,Ready To Move,Esther Enclave Layout,2 Bedroom,Grrvagr,1230,2.0,0.0,68.0,4
Built-Up Area,Ready To Move,Hebbal,2 Bhk,Grrvagr,1100,2.0,2.0,42.0,4
Super Built-Up Area,Ready To Move,Yelahanka,1 Bhk,Grrvagr,1000,1.0,0.0,14.0,0
Super Built-Up Area,18-Jun,Sadaramangala,2 Bhk,Maade P,1260,2.0,1.0,62.0,4
Built-Up Area,Ready To Move,Ambalipura,3 Bhk,Grrvagr,1817,3.0,3.0,102.0,4
Super Built-Up Area,19-Jan,Kodihalli,4 Bhk,Priesla,3626,5.0,3.0,785.0,4
Super Built-Up Area,18-Apr,Basavangudi,2 Bhk,Grrvagr,1180,2.0,3.0,124.0,4
Built-Up Area,Ready To Move,Kr Puram,2 Bhk,Esnamth,1050,2.0,2.0,55.0,4
Plot Area,Ready To Move,Whitefield,4 Bedroom,Mintare,2900,4.0,3.0,225.0,4
Built-Up Area,Ready To Move,Kasavanhalli,3 Bedroom,Grrvagr,2110,4.0,3.0,120.0,4
Built-Up Area,Ready To Move,Mysore Road,1 Bhk,Grrvagr,500,1.0,1.0,17.5,0
Super Built-Up Area,Ready To Move,Murugeshpalya,3 Bhk,Grrvagr,1930,3.0,3.0,75.0,4
Plot Area,Ready To Move,Harappanahalli,4 Bedroom,Nioutar,4560,5.0,2.0,430.0,4
Super Built-Up Area,Ready To Move,Mahadevpura,3 Bhk,Maourit,1505,3.0,2.0,64.0,4
Plot Area,Ready To Move,Jayamahal,4 Bedroom,Grrvagr,2400,3.0,1.0,750.0,4
Super Built-Up Area,Ready To Move,Ananth Nagar,2 Bhk,Grrvagr,890,2.0,1.0,27.0,4
Super Built-Up Area,18-Dec,Gunjur Palya,2 Bhk,Grrvagr,849,2.0,2.0,25.4,4
Plot Area,Ready To Move,Chikka Tirupathi,3 Bedroom,Grrvagr,1555,3.0,1.0,100.0,4
Plot Area,Ready To Move,8Th Block Koramangala,3 Bedroom,Grrvagr,600,2.0,1.0,85.0,4
Carpet Area,Ready To Move,Kr Puram,2 Bhk,Shionya,1057,2.0,2.0,30.0,4
Super Built-Up Area,Ready To Move,7Th Phase Jp Nagar,3 Bhk,Eladero,1680,3.0,2.0,122.0,4
Built-Up Area,Ready To Move,Samethanahalli,2 Bhk,Spontna,799,2.0,1.0,35.0,4
Built-Up Area,Ready To Move,Sarjapur Road,3 Bhk,Grrvagr,1450,2.0,1.0,75.0,4
Super Built-Up Area,Ready To Move,Kanakpura Road,2 Bhk,Grrvagr,1135,2.0,1.0,56.74,4
Super Built-Up Area,Ready To Move,Hsr Layout,3 Bhk,Puontfa,2020,3.0,2.0,160.0,4
Super Built-Up Area,Ready To Move,Vinayaka Layout,5 Bhk,V Htsji,2700,4.0,2.0,170.0,4
Super Built-Up Area,18-Jan,Hosa Road,3 Bhk,Pamesy,1730,3.0,2.0,72.6,4
Built-Up Area,Ready To Move,Dasarahalli,3 Bhk,Sooneoo,1950,3.0,2.0,125.0,4
Super Built-Up Area,Ready To Move,Thirumalashettyhally,2 Bhk,Srcha S,1077,2.0,1.0,34.46,4
Super Built-Up Area,Ready To Move,Brookefield,3 Bhk,Stide B,1706,3.0,2.0,115.0,4
Built-Up Area,Ready To Move,New Gurappana Palya,5 Bhk,Grrvagr,3000,4.0,0.0,300.0,4
Super Built-Up Area,Ready To Move,Channasandra,2 Bhk,Unm 2El,1093,2.0,1.0,37.0,4
Super Built-Up Area,Ready To Move,Ambalipura,4 Bhk,Grrvagr,2750,4.0,2.0,142.0,4
Super Built-Up Area,18-Feb,Whitefield,2 Bhk,Brlisco,1340,2.0,1.0,101.0,4
Super Built-Up Area,18-Nov,Sarjapur Road,2 Bhk,Asastde,984,2.0,1.0,59.0,4
Super Built-Up Area,Ready To Move,Aecs Layout,2 Bhk,Dsutyng,1135,2.0,2.0,68.0,4
Plot Area,18-Dec,Bannerghatta Road,4 Bedroom,Putere,2400,4.0,1.0,344.0,4
Super Built-Up Area,Ready To Move,Varthur,2 Bhk,Mkllei,1155,2.0,2.0,39.0,4
Super Built-Up Area,Ready To Move,Kaggalipura,1 Bhk,Baowsig,700,1.0,0.0,35.0,0
Super Built-Up Area,Ready To Move,Horamavu Agara,2 Bhk,Maows M,1150,2.0,1.0,42.0,4
Super Built-Up Area,Ready To Move,Hormavu,3 Bhk,Arureig,1385,2.0,1.0,69.25,4
Super Built-Up Area,Ready To Move,Akshaya Nagar,3 Bhk,Hiahsla,2061,4.0,2.0,175.0,4
Super Built-Up Area,Ready To Move,Kathriguppe,3 Bhk,Grrvagr,1335,2.0,3.0,73.43,4
Super Built-Up Area,Ready To Move,Bellandur,2 Bhk,Goner C,1015,2.0,1.0,60.0,4
Built-Up Area,Ready To Move,Banashankari Stage Iii,6 Bedroom,Grrvagr,3000,6.0,2.0,150.0,4
Super Built-Up Area,Ready To Move,Electronic City,2 Bhk,Prarkun,1108,2.0,1.0,63.0,4
Super Built-Up Area,Ready To Move,Frazer Town,2 Bhk,Grrvagr,1180,2.0,1.0,105.0,4
Super Built-Up Area,18-Sep,Hennur Road,3 Bhk,Maity W,1445,2.0,1.0,83.0,4
Super Built-Up Area,Ready To Move,Vasanthapura,2 Bhk,Grrvagr,1500,2.0,2.0,65.0,4
Plot Area,Ready To Move,Ramamurthy Nagar,1 Bedroom,Grrvagr,1Grounds,1.0,1.0,48.0,0
Super Built-Up Area,18-Jun,Kr Puram,2 Bhk,Mcnexva,1085,2.0,1.0,46.5,4
Plot Area,Ready To Move,Kadugodi,4 Bedroom,Grrvagr,2760,4.0,2.0,290.0,4
Built-Up Area,Ready To Move,Sarjapura - Attibele Road,3 Bhk,Grrvagr,1330,2.0,1.0,49.0,4
Plot Area,18-May,Ramagondanahalli,2 Bedroom,Grrvagr,845,2.0,1.0,45.82,4
Super Built-Up Area,Ready To Move,Ambalipura,2 Bhk,Dimes E,1303,2.0,2.0,80.0,4
Super Built-Up Area,Ready To Move,Banagiri Nagar,3 Bhk,Grrvagr,1560,2.0,2.0,125.0,4
Super Built-Up Area,19-Jan,Chandapura,3 Bhk,Suvue S,1110,2.0,2.0,29.97,4
Super Built-Up Area,18-May,Doddabanahalli,3 Bhk,Grrvagr,1290,3.0,2.0,45.33,4
Super Built-Up Area,Ready To Move,Bannerghatta Road,2 Bhk,Loals P,1160 - 1315,2.0,0.0,49.49,4
Super Built-Up Area,18-Mar,9Th Phase Jp Nagar,3 Bhk,Hmigond,1780,3.0,2.0,88.0,4
Super Built-Up Area,Ready To Move,Budigere,3 Bhk,Pritytr,1636,3.0,2.0,83.0,4
Built-Up Area,18-May,Hennur,4 Bedroom,Asoilul,2557,2.0,2.0,170.0,4
Built-Up Area,Ready To Move,Sector 2 Hsr Layout,2 Bhk,Dshtsow,1332,2.0,2.0,101.0,4
Super Built-Up Area,Ready To Move,Sadashiva Nagar,5 Bhk,Grrvagr,7500,5.0,2.0,1500.0,4
Built-Up Area,Ready To Move,Kodbisanhalli,2 Bhk,Seityen,1012,2.0,2.0,59.0,4
Super Built-Up Area,Ready To Move,Kengeri,2 Bhk,Reunee,1192,2.0,2.0,53.5,4
Super Built-Up Area,Ready To Move,Uttarahalli,2 Bhk,Grrvagr,1213,2.0,2.0,48.0,4
Super Built-Up Area,Ready To Move,Sarjapur Road,3 Bhk,Coleoen,1489,3.0,2.0,88.0,4
Super Built-Up Area,Ready To Move,Sarjapur,2 Bhk,Ahownve,1200,2.0,2.0,62.0,4
Super Built-Up Area,18-Jul,Electronic City Phase Ii,2 Bhk,Grrvagr,1140,2.0,2.0,28.5,4
Super Built-Up Area,18-Apr,Devanahalli,3 Bhk,Brrds O,1200,2.0,1.0,55.08,4
Super Built-Up Area,18-Aug,Ananth Nagar,2 Bhk,Grrvagr,1200,2.0,1.0,36.0,4
Plot Area,Ready To Move,Vidyaranyapura,5 Bedroom,Grrvagr,2640,6.0,1.0,225.0,4
Super Built-Up Area,Ready To Move,Bannerghatta Road,3 Bhk,Grrvagr,1650,3.0,1.0,94.0,4
Plot Area,Ready To Move,Bharathnagar,2 Bedroom,Grrvagr,1245,2.0,1.0,120.0,4
Super Built-Up Area,Ready To Move,Ardendale,2 Bhk,Awharde,1224,2.0,2.0,67.0,4
Super Built-Up Area,18-Aug,Gunjur,2 Bhk,Bmineis,1235,2.0,2.0,52.76,4
Super Built-Up Area,Ready To Move,Yelenahalli,2 Bhk,Grrvagr,1200,2.0,2.0,45.6,4
Built-Up Area,Ready To Move,Yelahanka,3 Bhk,Ncs 2Rj,1342,2.0,2.0,75.0,4
Plot Area,Ready To Move,9Th Phase Jp Nagar,3 Bedroom,Grrvagr,600,3.0,2.0,79.0,4
Built-Up Area,Ready To Move,Tc Palaya,2 Bhk,Gilomsh,1800,2.0,2.0,80.0,4
Plot Area,Ready To Move,Hal 2Nd Stage,4 Bedroom,Grrvagr,2280,4.0,2.0,615.0,4
Plot Area,Ready To Move,Rajaji Nagar,4 Bedroom,Grrvagr,2440,2.0,0.0,415.0,4
Super Built-Up Area,Ready To Move,Abbigere,2 Bhk,Sltias,1130,2.0,1.0,46.33,4
Built-Up Area,Ready To Move,Somasundara Palya,2 Bhk,Manceel,1186,2.0,3.0,72.0,4
Super Built-Up Area,Ready To Move,Hennur,2 Bhk,Shateor,1295,2.0,1.0,64.0,4
Super Built-Up Area,Ready To Move,Bannerghatta Road,2 Bhk,Snity S,905,2.0,1.0,65.0,4
Super Built-Up Area,Ready To Move,Hormavu,2 Bhk,Nadhian,1165,2.0,1.0,40.0,4
Super Built-Up Area,19-Jul,Kanakpura Road,2 Bhk,Soazak,1328,2.0,2.0,107.0,4
Super Built-Up Area,Ready To Move,Gandhi Bazar,3 Bhk,Grrvagr,1485,2.0,3.0,110.0,4
Super Built-Up Area,Ready To Move,Uttarahalli,3 Bhk,Grrvagr,1475,2.0,3.0,59.0,4
Super Built-Up Area,Ready To Move,Vidyaranyapura,2 Bhk,Aurisa,1175,2.0,2.0,35.0,4
Plot Area,Ready To Move,Vishwanatha Nagenahalli,4 Bedroom,Grrvagr,720,4.0,1.0,95.0,4
Super Built-Up Area,20-Nov,Rachenahalli,2 Bhk,Asnowre,985,2.0,1.0,49.97,4
Plot Area,Ready To Move,Koramangala,5 Bedroom,Grrvagr,4000,5.0,0.0,800.0,4
Super Built-Up Area,Ready To Move,Hoskote,3 Bhk,Vriewke,1395,2.0,2.0,63.0,4
Super Built-Up Area,21-Dec,Hoodi,1 Bhk,Goairej,706 - 716,1.0,0.0,42.65,0
Super Built-Up Area,18-Apr,Electronic City,1 Bhk,Prarkun,630,1.0,1.0,40.5,0
Super Built-Up Area,Ready To Move,Ms Pallya,4 Bhk,Grrvagr,2400,4.0,1.0,88.0,4
Super Built-Up Area,Ready To Move,Gottigere,2 Bhk,Grrvagr,1170,2.0,2.0,40.0,4
Super Built-Up Area,Ready To Move,Marathahalli,4 Bhk,Prionad,2500,5.0,2.0,181.0,4
Super Built-Up Area,Ready To Move,Gubbalala,2 Bhk,Grrvagr,1100,2.0,2.0,49.5,4
Super Built-Up Area,18-Mar,Hulimavu,4 Bhk,Vapasrk,3560,5.0,3.0,318.0,4
Built-Up Area,18-Dec,Bommasandra Industrial Area,2 Bhk,Grrvagr,1160,2.0,1.0,33.51,4
Super Built-Up Area,18-Jan,Varthur,2 Bhk,Muistry,1180,2.0,2.0,55.0,4
Super Built-Up Area,21-Jan,Tumkur Road,3 Bhk,Sapus S,1441,2.0,1.0,95.0,4
Super Built-Up Area,Ready To Move,Channasandra Layout,2 Bhk,Aconyit,1115,2.0,1.0,50.0,4
Super Built-Up Area,Ready To Move,Yeshwanthpur,3 Bhk,Goandn,1825,3.0,2.0,145.0,4
Carpet Area,Ready To Move,Challaghatta,2 Bhk,Grrvagr,1489,2.0,0.0,101.0,4
Super Built-Up Area,Ready To Move,Defence Colony,4 Bhk,Grrvagr,2800,4.0,3.0,365.0,4
Super Built-Up Area,Ready To Move,Subramanyapura,3 Bhk,Prldsri,1278,3.0,2.0,62.71,4
Super Built-Up Area,Ready To Move,Hormavu,2 Bhk,Grrvagr,1065,2.0,1.0,50.92,4
Super Built-Up Area,Ready To Move,Whitefield,2 Bhk,Pae 1Ov,1190,2.0,1.0,64.0,4
Super Built-Up Area,22-Jun,Koramangala,2 Bhk,Grrvagr,1130,2.0,2.0,63.0,4
Super Built-Up Area,18-Apr,Banashankari,2 Bhk,Bregae,1430,2.0,2.0,87.8,4
Built-Up Area,Ready To Move,Hrbr Layout,4 Bhk,Aples M,1900,3.0,1.0,90.0,4
Super Built-Up Area,Ready To Move,Sarjapur Road,2 Bhk,Dslessp,1104,2.0,1.0,34.22,4
Super Built-Up Area,Ready To Move,Begur Road,2 Bhk,Dhalsh,1240,2.0,2.0,45.88,4
Built-Up Area,Ready To Move,Choodasandra,2 Bhk,Grlpank,1140,2.0,2.0,62.0,4
Super Built-Up Area,Ready To Move,Sarjapur,4 Bhk,Prldsum,3508,6.0,2.0,425.0,4
Super Built-Up Area,Ready To Move,Kr Puram,3 Bhk,Keuresi,1700,3.0,3.0,105.0,4
Super Built-Up Area,18-Dec,Old Airport Road,4 Bhk,Jaades,2658,5.0,3.0,189.0,4
Super Built-Up Area,Ready To Move,Canara Bank Colony,3 Bhk,Dencyre,1600,2.0,1.0,90.0,4
Super Built-Up Area,Ready To Move,Ombr Layout,4 Bhk,Grrvagr,3400,4.0,2.0,275.0,4
Super Built-Up Area,18-Apr,Reliaable Tranquil Layout,3 Bhk,Sariana,1508,3.0,1.0,75.0,4
Built-Up Area,18-Jan,Balagere,1 Bhk,Soresea,645,1.0,1.0,41.0,0
Super Built-Up Area,Ready To Move,Hormavu,2 Bhk,Grrvagr,1046,2.0,1.0,60.0,4
Plot Area,Ready To Move,Munnekollal,10 Bedroom,Grrvagr,1200,8.0,3.0,230.0,4
Built-Up Area,Ready To Move,5Th Block Jayanagar,1 Bedroom,Grrvagr,1500,1.0,1.0,300.0,0
Built-Up Area,Ready To Move,Mahalakshmi Puram,6 Bedroom,Grrvagr,3000,6.0,3.0,300.0,4
Super Built-Up Area,18-May,Hosa Road,2 Bhk,Sstusan,1079,2.0,1.0,32.37,4
Super Built-Up Area,Ready To Move,Thubarahalli,2 Bhk,Soowsa,975,2.0,1.0,50.0,4
Built-Up Area,Ready To Move,Isro Layout,2 Bhk,Foinade,1050,2.0,1.0,51.0,4
Plot Area,Ready To Move,Hsr Layout,9 Bedroom,Grrvagr,1200,9.0,0.0,350.0,4
Super Built-Up Area,Ready To Move,"Jayanagar,",3 Bhk,Grrvagr,1903,3.0,2.0,165.0,4
Built-Up Area,Ready To Move,Bommenahalli,3 Bedroom,Prood G,2940Sq. Yards,3.0,1.0,232.0,4
Super Built-Up Area,Ready To Move,Asthagrama Layout,2 Bhk,Grrvagr,1200,2.0,2.0,38.0,4
Super Built-Up Area,Ready To Move,Avalahalli,4 Bhk,Sohea A,2996,4.0,3.0,200.0,4
Built-Up Area,Ready To Move,Manayata Tech Park,4 Bhk,Grrvagr,3400,4.0,2.0,200.0,4
Plot Area,Ready To Move,Whitefield,4 Bedroom,Proaksi,2000,4.0,1.0,312.0,4
Plot Area,Ready To Move,Jigani,4 Bedroom,Grrvagr,1453,4.0,1.0,160.0,4
Super Built-Up Area,Ready To Move,Parappana Agrahara,2 Bhk,Grrvagr,1092,2.0,2.0,43.0,4
Super Built-Up Area,Ready To Move,Hormavu,2 Bhk,Syavuho,1400,2.0,0.0,75.0,4
Super Built-Up Area,Ready To Move,Bommanahalli,3 Bhk,Rerelve,1416,2.0,1.0,85.0,4
Built-Up Area,Ready To Move,Iti Layout,3 Bhk,Bmityre,1602,2.0,1.0,75.0,4
Super Built-Up Area,Ready To Move,Electronic City,2 Bhk,Music C,1100,2.0,1.0,41.0,4
Super Built-Up Area,Ready To Move,Kothanur,3 Bhk,Somumys,1760,3.0,2.0,110.0,4
Super Built-Up Area,Ready To Move,Marathahalli,4 Bhk,Puerari,3800,4.0,3.0,235.0,4
Super Built-Up Area,Ready To Move,Vasanthapura,2 Bhk,Grrvagr,1037,2.0,1.0,36.28,4
Super Built-Up Area,Ready To Move,Yeshwanthpur,3 Bhk,Ibityin,1384,2.0,2.0,76.18,4
Super Built-Up Area,22-Jan,Vajarahalli,1 Bhk,Grrvagr,551,1.0,1.0,30.0,0
Plot Area,Ready To Move,Indira Nagar,4 Bedroom,Grrvagr,2400,5.0,2.0,1250.0,4
Plot Area,Ready To Move,7Th Phase Jp Nagar,1 Bedroom,Grrvagr,500,1.0,0.0,70.0,0
Super Built-Up Area,18-Apr,Sarjapur,2 Bhk,Snityve,900,2.0,2.0,27.98,4
Plot Area,Ready To Move,Anandapura,3 Bedroom,Grrvagr,1415,2.0,1.0,74.0,4
Super Built-Up Area,18-Mar,Rajarajesheari Nagar,2 Bhk,Grrvagr,1400,2.0,1.0,44.8,4
Plot Area,Ready To Move,Devara Jeevanahalli,7 Bedroom,Grrvagr,1300,4.0,1.0,52.0,4
Built-Up Area,Ready To Move,Millers Road,3 Bhk,Grrvagr,2850,4.0,3.0,460.0,4
Built-Up Area,Ready To Move,Kudlu,2 Bhk,Mjinala,1030,2.0,2.0,75.0,4
Built-Up Area,Ready To Move,Kambipura,2 Bhk,Prrtht,883,2.0,1.0,39.0,4
Super Built-Up Area,Ready To Move,Celebrity Paradise Layout,1 Bhk,Grrvagr,550,1.0,1.0,16.0,0
Super Built-Up Area,Ready To Move,Anjanapura,4 Bhk,Grrvagr,1800,4.0,2.0,55.0,4
Plot Area,Ready To Move,Yemlur,5 Bedroom,Epllan,10000,5.0,2.0,1950.0,4
Super Built-Up Area,Ready To Move,Old Madras Road,2 Bhk,Brglede,1210,2.0,1.0,77.0,4
Plot Area,Ready To Move,Vishveshwarya Layout,4 Bedroom,Grrvagr,2000,3.0,0.0,90.0,4
Super Built-Up Area,21-Oct,Kanakpura Road,3 Bhk,Prarepa,1100,3.0,1.0,58.0,4
Super Built-Up Area,Ready To Move,Lavakusha Nagar,3 Bhk,Grrvagr,1780,3.0,1.0,100.0,4
Plot Area,Ready To Move,2Nd Block Hbr Layout,5 Bedroom,Grrvagr,950,5.0,2.0,55.0,4
Built-Up Area,Ready To Move,Panathur,2 Bhk,Grrvagr,1050,2.0,2.0,60.0,4
Super Built-Up Area,Ready To Move,Hosur Road,3 Bhk,Collsrn,1370,3.0,3.0,38.36,4
Super Built-Up Area,Ready To Move,Marathahalli,4 Bhk,Puerari,3951,4.0,3.0,230.0,4
Super Built-Up Area,Ready To Move,Bellandur,3 Bhk,Bhreeba,2500,4.0,2.0,112.0,4
Built-Up Area,Ready To Move,Sri Venkateshpura Layout,2 Bhk,Grrvagr,1050,2.0,1.0,49.5,4
Super Built-Up Area,Ready To Move,Anjanapura,3 Bhk,Grrvagr,1843,3.0,1.0,87.54,4
Plot Area,Ready To Move,3Rd Block Banashankari,4 Bedroom,Grrvagr,1200,4.0,1.0,175.0,4
Super Built-Up Area,Ready To Move,Somasundara Palya,2 Bhk,Manceel,1186,2.0,1.0,76.0,4
Super Built-Up Area,18-Aug,Haralur Road,1 Bhk,Snnia E,560,1.0,1.0,45.0,0
Plot Area,Ready To Move,Mahalakshmi Layout,4 Bedroom,Grrvagr,1200,3.0,1.0,160.0,4
Super Built-Up Area,20-Jan,Yelahanka,3 Bhk,Aduil T,1823,3.0,2.0,103.0,4
Built-Up Area,Ready To Move,Rajasree Layout,3 Bhk,Itbhaa,1310,3.0,3.0,90.0,4
Super Built-Up Area,Ready To Move,Varthur,3 Bhk,Caestsr,1520,2.0,2.0,60.0,4
Super Built-Up Area,18-Jul,Bhoganhalli,3 Bhk,Rosha I,1610,3.0,1.0,74.03,4
Plot Area,18-Aug,Whitefield,3 Bedroom,Grrvagr,1500,3.0,1.0,78.57,4
Super Built-Up Area,Ready To Move,Lb Shastri Nagar,3 Bhk,Mcrds S,1400,2.0,2.0,80.0,4
Super Built-Up Area,Ready To Move,Hrbr Layout,3 Bhk,Grrvagr,1625,3.0,2.0,120.0,4
Plot Area,Ready To Move,Chikkalasandra,5 Bedroom,Grrvagr,1500,5.0,3.0,265.0,4
Built-Up Area,Ready To Move,Hessarghatta,2 Bhk,Grrvagr,900,2.0,1.0,24.0,4
Built-Up Area,Ready To Move,Talaghattapura,2 Bhk,Grrvagr,1100,2.0,0.0,32.0,4
Super Built-Up Area,Ready To Move,Bannerghatta Road,2 Bhk,Grrvagr,1000,2.0,1.0,50.0,4
Super Built-Up Area,18-Dec,Old Airport Road,4 Bhk,Jaades,2774,4.0,3.0,197.0,4
Super Built-Up Area,Ready To Move,Yeshwanthpur,1 Bhk,Vaarai,994,2.0,0.0,54.67,4
Super Built-Up Area,Ready To Move,Kaggadasapura,3 Bhk,Arncy R,1455,3.0,3.0,75.0,4
Plot Area,Ready To Move,Chandapura,5 Bedroom,Arncyd,1200,3.0,1.0,79.0,4
Built-Up Area,Ready To Move,Lakshminarayana Pura,2 Bhk,Rothava,1172,2.0,1.0,75.0,4
Super Built-Up Area,Ready To Move,Hennur,3 Bhk,Grrvagr,1935,3.0,2.0,102.0,4
Super Built-Up Area,Ready To Move,Rachenahalli,3 Bhk,Ameur G,1856,3.0,3.0,106.0,4
Super Built-Up Area,Ready To Move,Old Airport Road,3 Bhk,Grrvagr,2392,3.0,2.0,249.0,4
Super Built-Up Area,Ready To Move,Uttarahalli,2 Bhk,Gaent R,900,2.0,2.0,35.0,4
Built-Up Area,Ready To Move,Raja Rajeshwari Nagar,3 Bhk,Chionco,1757,3.0,3.0,98.0,4
Super Built-Up Area,Ready To Move,Kudlu,2 Bhk,Grrvagr,1027,2.0,2.0,44.0,4
Super Built-Up Area,Ready To Move,Whitefield,3 Bhk,Nillsre,1626,3.0,3.0,85.0,4
Super Built-Up Area,Ready To Move,Dr Shivarama Karantha Nagar,2 Bhk,Grrvagr,1200,2.0,1.0,54.0,4
Super Built-Up Area,19-Dec,Hoodi,3 Bhk,Caycend,1559,3.0,1.0,81.55,4
Super Built-Up Area,Ready To Move,Amruthahalli,2 Bhk,Grrvagr,1190,2.0,2.0,50.0,4
Super Built-Up Area,Ready To Move,Kr Puram,2 Bhk,Svlesas,1200,2.0,1.0,72.0,4
Super Built-Up Area,Ready To Move,Harlur,2 Bhk,Prncyrn,1174,2.0,1.0,74.0,4
Built-Up Area,Ready To Move,Kanakpura Road,2 Bhk,Grrvagr,1140,2.0,1.0,65.0,4
Built-Up Area,Ready To Move,Vibuthipura,3 Bhk,Tantsod,1603,2.0,0.0,125.0,4
Super Built-Up Area,Ready To Move,Subramanyapura,3 Bhk,Prldsri,1278,3.0,2.0,70.0,4
Super Built-Up Area,Ready To Move,Krishna Reddy Layout,3 Bhk,Rahtshe,2180,3.0,2.0,285.0,4
Super Built-Up Area,Ready To Move,Banashankari Stage Iii,2 Bhk,Datrogo,1085,2.0,1.0,50.0,4
Super Built-Up Area,19-Jun,Whitefield,2 Bhk,Pae 2Ov,1195,2.0,1.0,61.36,4
Plot Area,Ready To Move,Kamakshipalya,1 Bedroom,Grrvagr,450,1.0,0.0,30.0,0
Super Built-Up Area,19-Jan,Rajaji Nagar,4 Bhk,Grrvagr,6500,5.0,2.0,1400.0,4
Super Built-Up Area,Ready To Move,Attibele,1 Bhk,Jae 1Hu,550,1.0,1.0,11.5,0
Super Built-Up Area,Ready To Move,Kenchenahalli,2 Bhk,Ariospa,1165,2.0,2.0,45.0,4
Super Built-Up Area,Ready To Move,1St Stage Indira Nagar,4 Bhk,Grrvagr,3000,4.0,2.0,301.0,4
Super Built-Up Area,Ready To Move,Kanakpura Road,3 Bhk,Jrrnauv,1452,3.0,3.0,60.0,4
Super Built-Up Area,18-Jan,Sarjapur Road,1 Bhk,Sjityaz,702,1.0,1.0,52.0,0
Super Built-Up Area,Ready To Move,Banashankari,2 Bhk,Grrvagr,1020,2.0,1.0,42.83,4
Super Built-Up Area,18-May,Devanahalli,2 Bhk,Derdsig,1340,2.0,1.0,65.0,4
Super Built-Up Area,18-Apr,Marathahalli,2 Bhk,Grrvagr,1125,2.0,1.0,54.8,4
Super Built-Up Area,Ready To Move,Jcr Layout,2 Bhk,Arnamru,1160,2.0,1.0,40.53,4
Built-Up Area,Ready To Move,Vidyaranyapura,2 Bhk,Dsestil,1050,2.0,1.0,50.0,4
Super Built-Up Area,19-Dec,Jp Nagar,3 Bhk,Shestut,1960,3.0,1.0,138.0,4
Built-Up Area,Ready To Move,Ganga Nagar,2 Bhk,Grrvagr,1200,3.0,2.0,52.0,4
Plot Area,Ready To Move,Judicial Layout,3 Bedroom,Grrvagr,1200,4.0,1.0,220.0,4
Super Built-Up Area,18-Dec,Old Airport Road,4 Bhk,Jaades,3496,4.0,2.0,262.0,4
Super Built-Up Area,Ready To Move,Electronic City,2 Bhk,Mavank,975,2.0,1.0,32.0,4
Super Built-Up Area,Ready To Move,Kudlu,3 Bhk,Mjinala,1700,3.0,3.0,125.0,4
Built-Up Area,Ready To Move,8Th Phase Jp Nagar,4 Bedroom,Grrvagr,1800,4.0,0.0,230.0,4
Plot Area,Ready To Move,Madavara,4 Bedroom,Grrvagr,612,3.0,0.0,47.0,4
Built-Up Area,Ready To Move,Brooke Bond First Cross,2 Bhk,Viium E,1275,2.0,3.0,69.0,4
Built-Up Area,Ready To Move,Yeshwanthpur,1 Bhk,Grrvagr,650,1.0,0.0,40.0,0
Super Built-Up Area,Ready To Move,Kasavanhalli,2 Bhk,Hmonymp,1495,2.0,2.0,110.0,4
Super Built-Up Area,Ready To Move,Hebbal,2 Bhk,Srntsha,1200,2.0,2.0,48.0,4
Plot Area,Ready To Move,Sarjapura - Attibele Road,5 Bedroom,Grrvagr,3750,6.0,2.0,295.0,4
Super Built-Up Area,19-Mar,Hennur Road,3 Bhk,Puachal,1679,3.0,2.0,94.86,4
Super Built-Up Area,Ready To Move,Kaval Byrasandra,3 Bhk,Grrvagr,1450,3.0,2.0,75.0,4
Super Built-Up Area,18-Nov,Balagere,2 Bhk,Soresea,1210,2.0,1.0,82.0,4
Super Built-Up Area,18-May,Dwaraka Nagar,3 Bhk,Grrvagr,1300,2.0,1.0,51.0,4
Super Built-Up Area,Ready To Move,Judicial Layout,2 Bhk,Grrvagr,1165,2.0,1.0,49.61,4
Super Built-Up Area,Ready To Move,Keshava Nagar,3 Bhk,Etens G,1623,3.0,3.0,155.0,4
Super Built-Up Area,Ready To Move,Channasandra,2 Bhk,Unm 2El,1115,2.0,1.0,35.8,4
Super Built-Up Area,Ready To Move,Btm Layout,1 Bhk,Grrvagr,450,1.0,1.0,20.0,0
Super Built-Up Area,18-Apr,Electronics City Phase 1,2 Bhk,Shitt S,1170,2.0,1.0,62.0,4
Built-Up Area,Ready To Move,Kr Puram,4 Bedroom,Caxusnd,2065,4.0,0.0,248.0,4
Built-Up Area,Ready To Move,Marathahalli,3 Bhk,Grrvagr,1700,3.0,2.0,126.0,4
Plot Area,Ready To Move,Uttarahalli,6 Bedroom,Grrvagr,1080,5.0,2.0,160.0,4
Super Built-Up Area,Ready To Move,Malleshpalya,2 Bhk,Soncyre,1245,2.0,1.0,55.0,4
Built-Up Area,19-Dec,Kanakapura,2 Bhk,Goityet,1017,2.0,1.0,66.0,4
